Date,Open,High,Low,Close,Adj Close,Volume
1/2/15,54.279999,54.599998,53.07,53.91,51.76474,10748600
1/5/15,54.369999,54.540001,53.34,53.880001,51.735939,11565000
1/6/15,54.27,54.43,52.130001,53.040001,50.929371,13772200
1/7/15,53.380001,53.650002,52.119999,53.009998,50.900555,10069800
1/8/15,53.48,54.279999,53.25,53.66,51.524696,9672100
1/9/15,53.669998,53.91,51.82,52.02,49.949951,12347800
1/12/15,51.060001,51.450001,49.200001,49.580002,47.607048,18261300
1/13/15,50.119999,51.43,49.459999,50.400002,48.394432,12259300
1/14/15,49.41,50.23,48.099998,49.41,47.443817,15684700
1/15/15,49.139999,50.400002,48.580002,49.41,47.443817,10396900
1/16/15,49.380001,49.970001,48.27,49.810001,47.827904,12978000
1/20/15,51,52.830002,50.759998,52.75,50.650909,15053400
1/21/15,52.650002,54,51.950001,53.669998,51.534286,12882200
1/22/15,54.52,55.82,53.91,55.59,53.377895,16201100
1/23/15,55.400002,55.98,54.799999,55.689999,53.473919,9460800
1/26/15,55.889999,56.200001,54.73,55.450001,53.243465,13353900
1/27/15,53.990002,54.52,52.540001,52.700001,50.602898,19810700
1/28/15,52.790001,53.700001,50.299999,50.619999,48.605663,17064800
1/29/15,51.049999,52.419998,50.57,52.240002,50.161201,16618900
1/30/15,52.02,52.130001,48.630001,49.080002,47.126949,18473100
2/2/15,48.580002,48.93,46.209999,48.720001,46.781277,22413100
2/3/15,47.299999,48.16,46.549999,47.5,45.609814,16634600
2/4/15,48.619999,49.790001,48.23,49.459999,47.491821,11836800
2/5/15,49.459999,49.459999,47.599998,48.810001,46.96265,9220900
2/6/15,48.84,49.470001,47.889999,48.150002,46.327618,8635300
2/9/15,46.41,47.240002,45.950001,46.529999,44.76894,12961900
2/10/15,47.400002,48.380001,46.900002,48.049999,46.231407,9085300
2/11/15,48.790001,48.950001,47.349998,47.59,45.788826,10060200
2/12/15,46.75,48.5,46.400002,47.880001,46.067829,9542800
2/13/15,47.529999,48.400002,46.650002,48.389999,46.55854,9895700
2/17/15,48.77,49.450001,47.860001,48.009998,46.192921,7260500
2/18/15,48.599998,49.450001,48.18,49.310001,47.443718,8677000
2/19/15,50.779999,50.799999,49.59,49.779999,47.895927,11462600
2/20/15,49.810001,51.119999,49.130001,51.02,49.089001,10537900
2/23/15,51.75,52.200001,50.950001,51.310001,49.368023,9508700
2/24/15,50.290001,51.560001,49.360001,51.52,49.570084,13880400
2/25/15,51.299999,51.490002,49.459999,49.73,47.847824,9577000
2/26/15,50.380001,50.380001,49.02,49.349998,47.482201,7577300
2/27/15,49,49.400002,47.849998,47.900002,46.087082,9396400
3/2/15,48.200001,48.57,47.849998,48.310001,46.481575,11482900
3/3/15,47.900002,49.029999,47.75,48.77,46.924164,9051200
3/4/15,48.849998,48.959999,47.98,48.950001,47.097343,6703800
3/5/15,49.189999,49.200001,47.779999,48.400002,46.568165,7041000
3/6/15,48.330002,48.939999,47.900002,48,46.183304,7002300
3/9/15,48.049999,48.580002,47.580002,47.919998,46.106323,7460200
3/10/15,47.5,47.580002,46.470001,46.740002,44.970993,9290000
