Date,Open,High,Low,Close,Adj Close,Volume
1/2/15,67.739998,68.080002,65.709999,66.339996,66.339996,6215000
1/5/15,66.870003,67.349998,65.5,66.150002,66.150002,5033400
1/6/15,66.629997,67,63.110001,64.580002,64.580002,6051700
1/7/15,64.959999,66.110001,64,65.529999,65.529999,5135000
1/8/15,65.699997,67.519997,65.410004,66.639999,66.639999,6889500
1/9/15,66.760002,66.970001,64.900002,65.339996,65.339996,3488100
1/12/15,66.160004,66.849998,63.84,65.919998,65.919998,5245000
1/13/15,66.839996,68.260002,65.449997,66.410004,66.410004,6261700
1/14/15,65.110001,65.540001,62.650002,64.050003,64.050003,6747900
1/15/15,64.279999,66.029999,63.720001,63.830002,63.830002,6253400
1/16/15,63.560001,65.75,62.369999,65.75,65.75,8142200
1/20/15,67.110001,68.540001,65.849998,68.029999,68.029999,9451700
1/21/15,67.610001,69.459999,66.68,69.209999,69.209999,7082200
1/22/15,71,73.199997,69.82,72.339996,72.339996,9681200
1/23/15,72.260002,73.220001,71.510002,73.099998,73.099998,3810200
1/26/15,72.540001,74.519997,72.309998,73.620003,73.620003,5593700
1/27/15,72.209999,73.510002,71.610001,71.800003,71.800003,4391600
1/28/15,72.68,73.800003,70.410004,70.769997,70.769997,4491000
1/29/15,71.379997,73.790001,70.709999,73.529999,73.529999,6116700
1/30/15,72.879997,73.519997,68.260002,69.370003,69.370003,8056800
2/2/15,69.080002,69.379997,65.739998,69.379997,69.379997,9992200
2/3/15,67.300003,68.970001,66.699997,67.970001,67.970001,8797300
2/4/15,68.800003,72.230003,68.800003,71.699997,71.699997,6394900
2/5/15,71.290001,71.349998,68.629997,69.599998,69.599998,5159600
2/6/15,69.040001,69.330002,67.139999,67.580002,67.580002,6422100
2/9/15,65.699997,66.669998,63.759998,64.57,64.57,7972300
2/10/15,65.400002,67.709999,65.230003,67.629997,67.629997,5488300
2/11/15,68.339996,68.580002,66.57,67.120003,67.120003,4394800
2/12/15,66.010002,67.550003,64.849998,67.339996,67.339996,4416500
2/13/15,66.110001,66.589996,65.389999,66.230003,66.230003,4363900
2/17/15,66.5,67.43,64.720001,64.93,64.93,4447300
2/18/15,65.900002,66.739998,64.5,66.720001,66.720001,4396000
2/19/15,68.449997,68.919998,66.040001,66.089996,66.089996,4806200
2/20/15,66.089996,68.279999,65.519997,68.010002,68.010002,4697100
2/23/15,69.029999,69.830002,67.980003,68.839996,68.839996,5117000
2/24/15,67.949997,71.379997,67.269997,70.889999,70.889999,5178400
2/25/15,70.559998,70.790001,68.669998,68.690002,68.690002,4416900
2/26/15,69.629997,69.699997,66.389999,67.419998,67.419998,7527400
